,a1,a3
218,484791.6333213362,60631.17504976953
219,864304.6928128006,95685.21045803922
220,799730.1354662857,98605.17260932883
221,799730.1354662857,98605.17260932883
222,799730.1354662857,98605.17260932883
223,799730.1354662857,98605.17260932883
224,799730.1354662857,98605.17260932883
225,799730.1354662857,98605.17260932883
226,799730.1354662857,98605.17260932883
227,799730.1354662857,98605.17260932883
228,799730.1354662857,98605.17260932883
229,799730.1354662857,98605.17260932883
230,799730.1354662857,98605.17260932883
231,669257.3745040195,81767.61422401898
232,669257.3745040195,81767.61422401898
233,669257.3745040195,81767.61422401898
234,669257.3745040195,81767.61422401898
235,669257.3745040195,81767.61422401898
236,669257.3745040195,81767.61422401898
237,669257.3745040195,81767.61422401898
238,669257.3745040195,81767.61422401898
239,669257.3745040195,81767.61422401898
240,669257.3745040195,81767.61422401898
241,669257.3745040195,81767.61422401898
242,669257.3745040195,81767.61422401898
243,525835.0164193675,64368.60836634417
244,583257.8349963812,75694.48162786818
245,583257.8349963812,75694.48162786818
246,691662.7378457476,94423.50066286341
247,919573.2419785331,116080.73695572246
248,857090.2892338955,102755.38896653471
249,857090.2892338955,102755.38896653471
250,857090.2892338955,102755.38896653471
251,857090.2892338955,102755.38896653471
252,857090.2892338955,102755.38896653471
253,857090.2892338955,102755.38896653471
254,820460.1483657686,101808.81774256782
255,820460.1483657686,101808.81774256782
256,820460.1483657686,101808.81774256782
257,820460.1483657686,101808.81774256782
258,802871.5716768786,98015.36038495263
259,802871.5716768786,98015.36038495263
260,802871.5716768786,98015.36038495263
261,802871.5716768786,98015.36038495263
262,802871.5716768786,98015.36038495263
263,802871.5716768786,98015.36038495263
264,802871.5716768786,98015.36038495263
265,802871.5716768786,98015.36038495263
266,802871.5716768786,98015.36038495263
267,622609.4498997445,72847.96032015093
268,622609.4498997445,72847.96032015093
269,622609.4498997445,72847.96032015093
270,622609.4498997445,72847.96032015093
271,622609.4498997445,72847.96032015093
272,622609.4498997445,72847.96032015093
273,622609.4498997445,72847.96032015093
274,622609.4498997445,72847.96032015093
275,625032.1143344326,70618.67788400008
276,625032.1143344326,70618.67788400008
277,625032.1143344326,70618.67788400008
278,625032.1143344326,70618.67788400008
279,625032.1143344326,70618.67788400008
280,625032.1143344326,70618.67788400008
281,625032.1143344326,70618.67788400008
